ülke;durum;puan;yýl
Brazil;Özgür;77;2006
Brazil;Özgür;76;2007
Brazil;Özgür;76;2008
Brazil;Özgür;77;2009
Brazil;Özgür;77;2010
Brazil;Özgür;78;2011
Brazil;Özgür;80;2012
Brazil;Özgür;81;2013
Brazil;Özgür;81;2014
Brazil;Özgür;81;2015
Brazil;Özgür;81;2016
Brazil;Özgür;79;2017
Brazil;Özgür;78;2018
Canada;Özgür;98;2006
Canada;Özgür;99;2007
Canada;Özgür;99;2008
Canada;Özgür;97;2009
Canada;Özgür;99;2010
Canada;Özgür;99;2011
Canada;Özgür;99;2012
Canada;Özgür;98;2013
Canada;Özgür;98;2014
Canada;Özgür;98;2015
Canada;Özgür;99;2016
Canada;Özgür;99;2017
Canada;Özgür;99;2018
Egypt;Özgür Deðil;30;2006
Egypt;Özgür Deðil;27;2007
Egypt;Özgür Deðil;25;2008
Egypt;Özgür Deðil;25;2009
Egypt;Özgür Deðil;27;2010
Egypt;Özgür Deðil;25;2011
Egypt;Özgür Deðil;35;2012
Egypt;Özgür Deðil;31;2014
Egypt;Özgür Deðil;26;2015
Egypt;Özgür Deðil;27;2016
Egypt;Özgür Deðil;26;2017
Egypt;Özgür Deðil;26;2018
Egypt;Yarý Özgür;41;2013
India;Özgür;76;2006
India;Özgür;76;2007
India;Özgür;76;2008
India;Özgür;76;2009
India;Özgür;76;2010
India;Özgür;76;2011
India;Özgür;77;2012
India;Özgür;76;2013
India;Özgür;77;2014
India;Özgür;78;2015
India;Özgür;77;2016
India;Özgür;77;2017
India;Özgür;77;2018
Sweden;Özgür;100;2006
Sweden;Özgür;100;2007
Sweden;Özgür;100;2008
Sweden;Özgür;100;2009
Sweden;Özgür;100;2010
Sweden;Özgür;100;2011
Sweden;Özgür;100;2012
Sweden;Özgür;100;2013
Sweden;Özgür;99;2014
Sweden;Özgür;99;2015
Sweden;Özgür;100;2016
Sweden;Özgür;100;2017
Sweden;Özgür;100;2018
Turkey;Özgür Deðil;32;2018
Turkey;Yarý Özgür;65;2006
Turkey;Yarý Özgür;65;2007
Turkey;Yarý Özgür;66;2008
Turkey;Yarý Özgür;65;2009
Turkey;Yarý Özgür;63;2010
Turkey;Yarý Özgür;63;2011
Turkey;Yarý Özgür;63;2012
Turkey;Yarý Özgür;61;2013
Turkey;Yarý Özgür;60;2014
Turkey;Yarý Özgür;55;2015
Turkey;Yarý Özgür;53;2016
Turkey;Yarý Özgür;38;2017
